Feature,Coef
SF_score_OverallQual,0.5761246235376138
GrLivArea_log,0.5740736853010597
OverallCond,0.2980186391839853
OverallQual_OverallQual,0.14927030218361986
SF_score_log,0.13667334254154406
BsmtScore,0.1331644392865349
OverallQual_LotArea,0.12717148698228728
Functional_Num,0.11273560750217387
add_TotalBaths,0.11134527166567804
1stFlrSF_log,0.11033588854355152
GarageCars,0.10966552958397484
SaleType_New,0.1000836588196798
Neighborhood_Crawfor,0.08810994109962039
BsmtFinSF1,0.07928839022868137
GarageArea,0.07345279167677955
add_PorchSF,0.06840118278587336
MSZoning_FV,0.06524885917441366
Neighborhood_StoneBr,0.06469513375999063
SaleCondition_Normal,0.06452290369383694
CentralAir,0.06392776647893918
KitchenQual_Num,0.059100206528653595
WoodDeckSF,0.055192241730144906
BsmtExposure_Gd,0.05289689396707462
Exterior1st_BrkFace,0.05216599505239282
MSZoning_RL,0.051303066142120345
Neighborhood_ClearCr,0.03978476596394565
2ndFlrSF,0.039527135940324386
ScreenPorch,0.039021069067702224
HeatingQC_Num,0.03855486808090095
Fireplaces,0.03465205341207794
OverallQual_FireplaceQu_9_Gd,0.03296249752485816
Condition1_Norm,0.03234055998355023
Neighborhood_Somerst,0.032027289500024946
GarageQual_Num,0.030543511729527906
Neighborhood_FireplaceQu_BrkSide_Gd,0.030281897835373522
LotConfig_CulDSac,0.028733379553423796
Neighborhood_NridgHt,0.028705010096750756
Functional_Typ,0.026153800153238118
MSSubClass_s20,0.023378698260657138
Neighborhood_NoRidge,0.02315648879306244
LotShape_IR2,0.02010368541908286
Foundation_PConc,0.019975960075063855
MasVnrType_Stone,0.01876392972946649
FireplaceQu_Num,0.018114490262266792
OverallQual_Neighborhood_8_NridgHt,0.01783489118593844
Heating_GasW,0.016986377427606874
ExterCond_TA,0.016311833436703414
MSSubClass_s70,0.01585681380182861
Neighborhood_Basement_BrkSide_1,0.014940984598819285
GarageType_BuiltIn,0.014377346443704229
GarageType_Attchd,0.014138002323889206
Neighborhood_Basement_Crawfor_1,0.014063315077017436
Neighborhood_FireplaceQu_StoneBr_Gd,0.013762604141771686
GarageType_Detchd,0.011464541605891712
PavedDrive_Y,0.011181174837541476
BsmtCond_TA,0.010624003864081922
GarageFinish_Num,0.010308967342153353
add_HasFinishedBasement_bi,0.009917468584663828
MoSold_m5,0.009587123357830196
Neighborhood_FireplaceQu_NAmes_No_fireplace,0.009509267112120533
MSSubClass_s80,0.009205615855319342
Neighborhood_FireplaceQu_NoRidge_TA,0.007633763063140419
MoSold_m6,0.007556412034841706
MoSold_m7,0.007114867417411174
YrSold-Month_2008-5,0.007063955807411624
Neighborhood_FireplaceQu_Somerst_No_fireplace,0.005635494459905826
FireplaceQu_Gd,0.0051331112238190615
Exterior1st_MetalSd,0.004677841019645534
add_HasPorch_bi,0.004369342410257033
YrSold_y2008,0.0038276903897803594
GarageCond_TA,0.003106988017039989
add_HasDeck_bi,0.003039559868827063
OverallQual_FireplaceQu_5_No_fireplace,0.0027688700834150397
OverallQual_Neighborhood_6_BrkSide,0.0026307084227380323
GarageFinish_RFn,0.002523198097706772
OverallQual_Neighborhood_4_NAmes,0.0025038414584551342
Fence_No_fence,0.0020939128590994798
add_MasVnrStoneBrick_bi,0.0019028006440266916
Neighborhood_Basement_StoneBr_1,0.0017652499066687932
YrSold-Month_2007-12,0.0015948124170311456
YrSold-Month_2007-6,0.0015681196046065076
LotShape_Num,0.0011861672911694003
Neighborhood_Basement_NridgHt_1,0.001160209992351328
Exterior2nd_Wd Sdng,0.0006870412457612988
YrSold-Month_2008-6,0.0005568568044889385
Foundation_CBlock,0.0005144593269344491
Exterior2nd_VinylSd,0.0003998086608816828
Neighborhood_Basement_Somerst_1,0.00037924656643013963
Neighborhood_FireplaceQu_CollgCr_No_fireplace,0.00015890028279224013
MSZoning_RH,0.0001433830489132098
YrSold-Month_2009-7,6.012156629757953e-06
add_NormalSale_bi,5.583296718350533e-08
LotShape_Reg,-2.4201640158149585e-06
OverallQual_FireplaceQu_7_TA,-0.0004483690425893086
RoofMatl_CompShg,-0.0009576651998574376
BldgType_TwnhsE,-0.0015419071503312471
YrSold-Month_2007-1,-0.002039474208500058
RoofStyle_Gable,-0.0023627354821005434
OverallQual_FireplaceQu_6_Gd,-0.002574946816110848
OverallQual_Neighborhood_7_NAmes,-0.0032706962179999935
ExterCond_Fa,-0.0035020577537976483
HeatingQC_TA,-0.003538674030928378
BsmtExposure_No,-0.003748572213579723
GarageType_Basment,-0.0038568063858413775
HeatingQC_Gd,-0.0040844249566097095
YrSold-Month_2007-9,-0.004247753323720929
Neighborhood_Basement_NAmes_1,-0.004337394123101333
FireplaceQu_No_fireplace,-0.004451992362960022
YrSold-Month_2007-11,-0.005147108856485573
YrSold-Month_2006-10,-0.006366640422220454
SaleType_WD,-0.006880099115219268
BsmtFinType2_BLQ,-0.00704034012761573
Neighborhood_Basement_OldTown_1,-0.00722766239646038
BldgType_Duplex,-0.007571925881459168
ExterQual_TA,-0.008054881775539133
YrSold-Month_2009-11,-0.008266474604453011
YrSold_y2009,-0.009157651899770388
Condition1_RRAe,-0.009210564134669258
Exterior1st_HdBoard,-0.009329109293280721
MSSubClass_s30,-0.009405348881320082
OverallQual_Neighborhood_7_Blmngtn,-0.00965238479264186
Heating_Grav,-0.00991300689792829
Neighborhood_Mitchel,-0.01023339676860428
BsmtFinType1_Unf,-0.01032984382705218
BsmtQual_Gd,-0.01049019276491408
KitchenQual_TA,-0.010875326667305188
Neighborhood_Basement_MeadowV_1,-0.010946192672342364
Exterior1st_Wd Sdng,-0.011295400227634526
MSSubClass_s90,-0.01214769658384994
LotConfig_Inside,-0.012194925994999169
HouseStyle_1Story,-0.012433481951162102
OverallQual_Neighborhood_6_NAmes,-0.0131833381682431
BsmtQual_TA,-0.01374114435811609
YrSold-Month_2009-4,-0.013964133852896743
Neighborhood_FireplaceQu_NAmes_Gd,-0.014763951090703272
Fence_GdWo,-0.014880424288051735
add_Cond1_2_NearBusyRd_bi,-0.01668066932328417
LotConfig_FR2,-0.01892688469310577
BldgType_Twnhs,-0.019508114759744982
YrSold-Month_2008-7,-0.020173735382437198
OverallQual_Neighborhood_7_NWAmes,-0.020564824196156628
Neighborhood_FireplaceQu_SWISU_Gd,-0.023172775200231897
KitchenQual_Gd,-0.023917252320113533
YrSold-Month_2009-12,-0.024060767620199153
GarageCond_Fa,-0.027685458205374085
KitchenAbvGr,-0.032001572136696514
OverallQual_FireplaceQu_3_No_fireplace,-0.032032766143737304
YrSold-Month_2008-10,-0.03287998944574739
Neighborhood_FireplaceQu_OldTown_No_fireplace,-0.03580857770305007
Neighborhood_Basement_Edwards_1,-0.03778027382955204
YrSold-Month_2007-2,-0.04009245580549175
YearsOld_log,-0.04358930257544978
Neighborhood_FireplaceQu_IDOTRR_No_fireplace,-0.06133496898566876
YearSinceRemodel,-0.07617553335074244
OverallQual_Neighborhood_4_IDOTRR,-0.07646298843383953
MSSubClass_s160,-0.07939382633208616
Neighborhood_MeadowV,-0.08022145315461343
YearsOld,-0.1255169617174766
